Client_ID,Product_ID,Product_Name,Category,Subcategory,Price,Margin,Score,Reason,Context_Item,Context_Date
CL-135432,LEA-CEL-0085,Strap Wallet Medium (Black),Leather Goods,Wallet,620,341.0,240,Colección Celine,Celine,2025-08-03
CL-135432,LEA-CEL-0082,Triomphe Card Holder (Gold),Leather Goods,Card Holder,360,198.00000000000003,200,Colección Celine,Celine,2025-08-03
CL-136274,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Hermès,2024-05-31
CL-136274,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Hermès,2024-05-31
CL-136274,JEW-HER-0005,Brazalete Hermès Kelly Dog (Black/Gold),Jewelry,Bracelet,550,270.0,200,Colección Hermès,Hermès,2024-05-31
CL-136372,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Gucci,2024-02-29
CL-136372,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Gucci,2024-02-29
CL-136372,LEA-GUC-0043,GG Marmont Card Case (Black),Leather Goods,Card Holder,290,159.5,200,Colección Gucci,Gucci,2024-02-29
CL-136673,ADO-CHA-0008,Cinturón Chanel Chain & Leather (Vintage),Adornment,Belt,850,450.0,260,Colección Chanel,Chanel,2024-06-04
CL-136673,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Chanel,2024-06-04
CL-136673,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Chanel,2024-06-04
CL-136728,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-10-31
CL-136728,LEA-LOU-0010,Zippy Coin Purse (Gold),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-10-31
CL-136728,LEA-LOU-0011,Zippy Coin Purse (Beige),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-10-31
CL-138219,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Fendi,2024-12-21
CL-138219,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Fendi,2024-12-21
CL-138219,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2024-12-21
CL-141629,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Louis Vuitton,2024-11-04
CL-141629,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Louis Vuitton,2024-11-04
CL-141629,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2024-11-04
CL-142096,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Prada,2024-09-18
CL-142096,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Prada,2024-09-18
CL-142096,LEA-PRA-0068,Saffiano Metal Holder (Black),Leather Goods,Card Holder,380,209.00000000000003,200,Colección Prada,Prada,2024-09-18
CL-144456,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,390,Mantenimiento Anual,Hermès,2024-05-03
CL-144456,SER-UNI-0149,Spa: Restauración Color,Service,Repair,220,180.0,390,Mantenimiento Anual,Hermès,2024-05-03
CL-144456,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,390,Mantenimiento Anual,Hermès,2024-05-03
CL-146244,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Fendi,2024-12-10
CL-146244,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Fendi,2024-12-10
CL-146244,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2024-12-10
CL-146517,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Louis Vuitton,2024-10-10
CL-146517,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Louis Vuitton,2024-10-10
CL-146517,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2024-10-10
CL-150609,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,,Louis Vuitton,2025-08-13
CL-150609,SER-UNI-0149,Spa: Restauración Color,Service,Repair,220,180.0,240,,Louis Vuitton,2025-08-13
CL-150609,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,,Louis Vuitton,2025-08-13
CL-151319,LEA-GUC-0043,GG Marmont Card Case (Black),Leather Goods,Card Holder,290,159.5,200,Colección Gucci,Gucci,2025-07-06
CL-151319,LEA-GUC-0044,GG Marmont Card Case (Gold),Leather Goods,Card Holder,290,159.5,200,Colección Gucci,Gucci,2025-07-06
CL-151319,LEA-GUC-0045,GG Marmont Card Case (Beige),Leather Goods,Card Holder,290,159.5,200,Colección Gucci,Gucci,2025-07-06
CL-151384,JEW-FEN-0133,O'Lock Choker (Gold),Jewelry,Necklace,540,324.0,350,Colección Fendi,Fendi,2025-11-04
CL-151384,JEW-FEN-0134,O'Lock Choker (Silver),Jewelry,Necklace,550,330.0,350,Colección Fendi,Fendi,2025-11-04
CL-151384,JEW-FEN-0131,F is Fendi Earrings (Gold),Jewelry,Earrings,330,198.0,300,Colección Fendi,Fendi,2025-11-04
CL-151390,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Fendi,2024-11-16
CL-151390,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Fendi,2024-11-16
CL-151390,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2024-11-16
CL-155778,LEA-LOE-0088,Puzzle Coin Cardholder (Black),Leather Goods,Card Holder,380,209.00000000000003,240,Colección Loewe,Loewe,2025-10-16
CL-155778,LEA-LOE-0092,Anagram Square Wallet (Black),Leather Goods,Wallet,490,269.5,240,Colección Loewe,Loewe,2025-10-16
CL-155778,LEA-LOE-0089,Puzzle Coin Cardholder (Gold),Leather Goods,Card Holder,380,209.00000000000003,200,Colección Loewe,Loewe,2025-10-16
CL-158015,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Fendi,2024-11-27
CL-158015,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Fendi,2024-11-27
CL-158015,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2024-11-27
CL-158041,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Celine,2024-05-11
CL-158041,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Celine,2024-05-11
CL-158041,LEA-CEL-0081,Triomphe Card Holder (Black),Leather Goods,Card Holder,360,198.00000000000003,200,Colección Celine,Celine,2024-05-11
CL-159583,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,280,Mantenimiento Anual,Louis Vuitton,2024-12-30
CL-159583,SER-UNI-0149,Spa: Restauración Color,Service,Repair,220,180.0,280,Mantenimiento Anual,Louis Vuitton,2024-12-30
CL-159583,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,280,Mantenimiento Anual,Louis Vuitton,2024-12-30
CL-164187,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-11-01
CL-164187,LEA-LOU-0010,Zippy Coin Purse (Gold),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-11-01
CL-164187,LEA-LOU-0011,Zippy Coin Purse (Beige),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-11-01
CL-164360,LEA-CEL-0081,Triomphe Card Holder (Black),Leather Goods,Card Holder,360,198.00000000000003,240,Colección Celine,Celine,2025-06-06
CL-164360,LEA-CEL-0085,Strap Wallet Medium (Black),Leather Goods,Wallet,620,341.0,240,Colección Celine,Celine,2025-06-06
CL-164360,LEA-CEL-0082,Triomphe Card Holder (Gold),Leather Goods,Card Holder,360,198.00000000000003,200,Colección Celine,Celine,2025-06-06
CL-164670,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-04-28
CL-164670,LEA-LOU-0010,Zippy Coin Purse (Gold),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-04-28
CL-164670,LEA-LOU-0011,Zippy Coin Purse (Beige),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-04-28
CL-164911,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Fendi,2024-06-01
CL-164911,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Fendi,2024-06-01
CL-164911,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2024-06-01
CL-165053,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Fendi,2024-05-26
CL-165053,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Fendi,2024-05-26
CL-165053,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2024-05-26
CL-166323,CAR-UNI-0145,Saphir Médaille d'Or Renovateur,Care,Leather,24,12.0,280,Cuidado Básico,Fendi,2025-12-29
CL-166323,CAR-UNI-0146,Collonil Carbon Pro Spray,Care,Protection,19,10.0,280,Cuidado Básico,Fendi,2025-12-29
CL-166323,CAR-UNI-0147,Kit Limpieza Herrajes,Care,Hardware,29,19.0,280,Cuidado Básico,Fendi,2025-12-29
CL-166869,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Celine,2025-01-15
CL-166869,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Celine,2025-01-15
CL-166869,LEA-CEL-0081,Triomphe Card Holder (Black),Leather Goods,Card Holder,360,198.00000000000003,200,Colección Celine,Celine,2025-01-15
CL-167414,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Fendi,2024-10-11
CL-167414,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Fendi,2024-10-11
CL-167414,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2024-10-11
CL-170898,ADO-CHA-0008,Cinturón Chanel Chain & Leather (Vintage),Adornment,Belt,850,450.0,260,Colección Chanel,Chanel,2024-10-18
CL-170898,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Chanel,2024-10-18
CL-170898,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Chanel,2024-10-18
CL-170942,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,280,Mantenimiento Anual,Loewe,2024-09-25
CL-170942,SER-UNI-0149,Spa: Restauración Color,Service,Repair,220,180.0,280,Mantenimiento Anual,Loewe,2024-09-25
CL-170942,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,280,Mantenimiento Anual,Loewe,2024-09-25
CL-172813,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Louis Vuitton,2024-02-06
CL-172813,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Louis Vuitton,2024-02-06
CL-172813,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2024-02-06
