CP,Provincia,Ciudad,Zona_Barrio,Renta_Oficial,Capacidad_Real,Fashion_Wallet,Perfil_Sociologico,Percentil_Nacional
28109,Madrid,Alcobendas,La Moraleja,221835,195214,25157,Elite,0.8936666666666667
28109,Madrid,Alcobendas,La Moraleja,121366,106802,11895,Elite,0.645
28109,Madrid,Alcobendas,La Moraleja,82008,91849,9652,Elite,0.402
28109,Madrid,Alcobendas,La Moraleja,228863,201400,26085,Elite,0.9023333333333333
28109,Madrid,Alcobendas,La Moraleja,159310,140193,16903,Elite,0.792
28109,Madrid,Alcobendas,La Moraleja,288473,253856,33953,Elite,0.9423333333333334
28109,Madrid,Alcobendas,La Moraleja,248223,218436,28640,Elite,0.9193333333333333
28109,Madrid,Alcobendas,La Moraleja,75723,84810,8596,Elite,0.352
28109,Madrid,Alcobendas,La Moraleja,83743,93793,9943,Elite,0.41533333333333333
28109,Madrid,Alcobendas,La Moraleja,182265,160393,19933,Elite,0.8376666666666667
28109,Madrid,Alcobendas,La Moraleja,1092585,961474,140096,Elite,0.9996666666666667
28109,Madrid,Alcobendas,La Moraleja,439570,386822,53898,Elite,0.9823333333333333
28109,Madrid,Alcobendas,La Moraleja,147632,129916,15362,Elite,0.753
28109,Madrid,Alcobendas,La Moraleja,139508,122767,14290,Elite,0.725
28109,Madrid,Alcobendas,La Moraleja,203847,179385,22782,Elite,0.876
28109,Madrid,Alcobendas,La Moraleja,463179,407597,57014,Elite,0.985
28109,Madrid,Alcobendas,La Moraleja,339279,298566,40659,Elite,0.9636666666666667
28109,Madrid,Alcobendas,La Moraleja,152832,134492,16048,Elite,0.771
28109,Madrid,Alcobendas,La Moraleja,170665,150185,18402,Elite,0.8136666666666666
28109,Madrid,Alcobendas,La Moraleja,425691,374608,52066,Elite,0.98
28109,Madrid,Alcobendas,La Moraleja,157011,138170,16600,Elite,0.7853333333333333
28109,Madrid,Alcobendas,La Moraleja,228185,200803,25995,Elite,0.902
28109,Madrid,Alcobendas,La Moraleja,204935,180343,22926,Elite,0.8776666666666667
28109,Madrid,Alcobendas,La Moraleja,136290,119935,13865,Elite,0.7116666666666667
28109,Madrid,Alcobendas,La Moraleja,96942,85309,8671,Elite,0.5106666666666667
28109,Madrid,Alcobendas,La Moraleja,340328,299489,40798,Elite,0.964
28109,Madrid,Alcobendas,La Moraleja,599182,527280,74967,Elite,0.993
28109,Madrid,Alcobendas,La Moraleja,472725,415998,58274,Elite,0.986
28109,Madrid,Alcobendas,La Moraleja,384261,338150,46597,Elite,0.9733333333333334
28109,Madrid,Alcobendas,La Moraleja,170336,149896,18359,Elite,0.8133333333333334
28109,Madrid,Alcobendas,La Moraleja,302903,266555,35858,Elite,0.949
28109,Madrid,Alcobendas,La Moraleja,112010,98569,10660,Elite,0.599
28109,Madrid,Alcobendas,La Moraleja,89849,100631,10969,Elite,0.4646666666666667
28109,Madrid,Alcobendas,La Moraleja,100663,88584,9162,Elite,0.5323333333333333
28109,Madrid,Alcobendas,La Moraleja,206935,182103,23190,Elite,0.8796666666666667
28109,Madrid,Alcobendas,La Moraleja,128419,113008,12826,Elite,0.6766666666666666
28109,Madrid,Alcobendas,La Moraleja,89488,100227,10909,Elite,0.461
28109,Madrid,Alcobendas,La Moraleja,939301,826585,119862,Elite,0.9986666666666667
28109,Madrid,Alcobendas,La Moraleja,63787,71441,6591,Elite,0.233
28109,Madrid,Alcobendas,La Moraleja,229180,201678,26126,Elite,0.9036666666666666
28109,Madrid,Alcobendas,La Moraleja,324172,285271,38665,Elite,0.9583333333333334
28109,Madrid,Alcobendas,La Moraleja,243200,214016,27977,Elite,0.9153333333333333
28109,Madrid,Alcobendas,La Moraleja,326616,287422,38988,Elite,0.9596666666666667
28109,Madrid,Alcobendas,La Moraleja,142139,125082,14637,Elite,0.733
28109,Madrid,Alcobendas,La Moraleja,259338,228217,30107,Elite,0.924
28109,Madrid,Alcobendas,La Moraleja,73439,82252,8212,Elite,0.3303333333333333
28109,Madrid,Alcobendas,La Moraleja,283073,249104,33240,Elite,0.94
28109,Madrid,Alcobendas,La Moraleja,279356,245833,32749,Elite,0.9373333333333334
28109,Madrid,Alcobendas,La Moraleja,155705,137020,16428,Elite,0.7806666666666666
28109,Madrid,Alcobendas,La Moraleja,209513,184371,23530,Elite,0.882
28109,Madrid,Alcobendas,La Moraleja,184343,162222,20208,Elite,0.842
28109,Madrid,Alcobendas,La Moraleja,230915,203205,26355,Elite,0.905
28109,Madrid,Alcobendas,La Moraleja,104523,91980,9672,Elite,0.5573333333333333
28109,Madrid,Alcobendas,La Moraleja,220582,194112,24991,Elite,0.8926666666666667
28109,Madrid,Alcobendas,La Moraleja,396182,348640,48171,Elite,0.9746666666666667
28109,Madrid,Alcobendas,La Moraleja,426549,375363,52179,Elite,0.9803333333333333
28109,Madrid,Alcobendas,La Moraleja,186589,164198,20504,Elite,0.8476666666666667
28109,Madrid,Alcobendas,La Moraleja,673283,592489,84748,Elite,0.9946666666666667
28109,Madrid,Alcobendas,La Moraleja,105543,92877,9806,Elite,0.5603333333333333
28109,Madrid,Alcobendas,La Moraleja,354403,311874,42656,Elite,0.9673333333333334
28109,Madrid,Alcobendas,La Moraleja,157511,138609,16666,Elite,0.7863333333333333
28109,Madrid,Alcobendas,La Moraleja,176314,155156,19148,Elite,0.8246666666666667
28109,Madrid,Alcobendas,La Moraleja,99618,87664,9024,Elite,0.528
28109,Madrid,Alcobendas,La Moraleja,106775,93962,9969,Elite,0.5693333333333334
28109,Madrid,Alcobendas,La Moraleja,364634,320878,44006,Elite,0.97
28109,Madrid,Alcobendas,La Moraleja,130786,115092,13138,Elite,0.69
28109,Madrid,Alcobendas,La Moraleja,348325,306526,41853,Elite,0.9656666666666667
28109,Madrid,Alcobendas,La Moraleja,233455,205441,26691,Elite,0.9073333333333333
28109,Madrid,Alcobendas,La Moraleja,155321,136682,16377,Elite,0.7776666666666666
28109,Madrid,Alcobendas,La Moraleja,437398,384911,53611,Elite,0.9816666666666667
28109,Madrid,Alcobendas,La Moraleja,278547,245121,32643,Elite,0.936
28109,Madrid,Alcobendas,La Moraleja,291965,256929,34414,Elite,0.9443333333333334
28109,Madrid,Alcobendas,La Moraleja,488900,430232,60409,Elite,0.9876666666666667
28109,Madrid,Alcobendas,La Moraleja,338374,297769,40540,Elite,0.9633333333333334
28109,Madrid,Alcobendas,La Moraleja,200091,176080,22287,Elite,0.8706666666666667
28109,Madrid,Alcobendas,La Moraleja,91262,102214,11207,Elite,0.4713333333333333
28109,Madrid,Alcobendas,La Moraleja,251666,221466,29094,Elite,0.9213333333333333
28109,Madrid,Alcobendas,La Moraleja,557995,491036,69530,Elite,0.9916666666666667
28109,Madrid,Alcobendas,La Moraleja,148443,130630,15469,Elite,0.756
28109,Madrid,Alcobendas,La Moraleja,310994,273675,36926,Elite,0.9523333333333334
28109,Madrid,Alcobendas,La Moraleja,127664,112344,12726,Elite,0.673
28109,Madrid,Alcobendas,La Moraleja,307082,270233,36409,Elite,0.9513333333333334
28109,Madrid,Alcobendas,La Moraleja,138791,122136,14195,Elite,0.7213333333333334
28109,Madrid,Alcobendas,La Moraleja,1030067,906459,131843,Elite,0.9993333333333333
28109,Madrid,Alcobendas,La Moraleja,292194,257131,34444,Elite,0.9446666666666667
28109,Madrid,Alcobendas,La Moraleja,181958,160123,19893,Elite,0.8363333333333334
28109,Madrid,Alcobendas,La Moraleja,382686,336763,46389,Elite,0.9726666666666667
28109,Madrid,Alcobendas,La Moraleja,211455,186080,23787,Elite,0.885
28109,Madrid,Alcobendas,La Moraleja,238069,209501,27300,Elite,0.912
28109,Madrid,Alcobendas,La Moraleja,410742,361453,50092,Elite,0.9776666666666667
28109,Madrid,Alcobendas,La Moraleja,288199,253615,33917,Elite,0.942
28109,Madrid,Alcobendas,La Moraleja,196177,172635,21770,Elite,0.864
28109,Madrid,Alcobendas,La Moraleja,225596,198524,25653,Elite,0.8986666666666666
28109,Madrid,Alcobendas,La Moraleja,121251,106701,11880,Elite,0.644
28109,Madrid,Alcobendas,La Moraleja,136492,120113,13891,Elite,0.7133333333333334
28109,Madrid,Alcobendas,La Moraleja,194259,170948,21517,Elite,0.8613333333333333
28109,Madrid,Alcobendas,La Moraleja,313447,275834,37250,Elite,0.9533333333333334
28109,Madrid,Alcobendas,La Moraleja,265189,233367,30880,Elite,0.9296666666666666
28109,Madrid,Alcobendas,La Moraleja,96266,84714,8582,Elite,0.5053333333333333
28109,Madrid,Alcobendas,La Moraleja,175079,154069,18985,Elite,0.8223333333333334
28109,Madrid,Alcobendas,La Moraleja,274560,241613,32116,Elite,0.9336666666666666
28109,Madrid,Alcobendas,La Moraleja,302174,265913,35761,Elite,0.9483333333333334
28109,Madrid,Alcobendas,La Moraleja,301255,265104,35640,Elite,0.948
28109,Madrid,Alcobendas,La Moraleja,155988,137269,16465,Elite,0.7833333333333333
28109,Madrid,Alcobendas,La Moraleja,318357,280155,37898,Elite,0.9546666666666667
28109,Madrid,Alcobendas,La Moraleja,224697,197733,25534,Elite,0.8963333333333333
28109,Madrid,Alcobendas,La Moraleja,195600,172128,21694,Elite,0.8626666666666667
28109,Madrid,Alcobendas,La Moraleja,246626,217031,28429,Elite,0.9173333333333333
28109,Madrid,Alcobendas,La Moraleja,199109,175216,22157,Elite,0.8683333333333333
28109,Madrid,Alcobendas,La Moraleja,68812,77069,7435,Elite,0.28633333333333333
28109,Madrid,Alcobendas,La Moraleja,298131,262355,35228,Elite,0.9466666666666667
28109,Madrid,Alcobendas,La Moraleja,188441,165828,20749,Elite,0.8516666666666667
28109,Madrid,Alcobendas,La Moraleja,125962,110846,12501,Elite,0.6676666666666666
28109,Madrid,Alcobendas,La Moraleja,275009,242008,32176,Elite,0.935
28109,Madrid,Alcobendas,La Moraleja,378832,333372,45880,Elite,0.972
28109,Madrid,Alcobendas,La Moraleja,523269,460477,64946,Elite,0.9893333333333333
28109,Madrid,Alcobendas,La Moraleja,390897,343989,47473,Elite,0.974
28109,Madrid,Alcobendas,La Moraleja,289924,255133,34144,Elite,0.943
28109,Madrid,Alcobendas,La Moraleja,331812,291995,39674,Elite,0.9616666666666667
28109,Madrid,Alcobendas,La Moraleja,124681,109719,12332,Elite,0.6613333333333333
28109,Madrid,Alcobendas,La Moraleja,100798,88702,9180,Elite,0.5333333333333333
28109,Madrid,Alcobendas,La Moraleja,476380,419215,58757,Elite,0.9863333333333333
28109,Madrid,Alcobendas,La Moraleja,97621,85906,8760,Elite,0.5136666666666667
28109,Madrid,Alcobendas,La Moraleja,246876,217251,28462,Elite,0.9176666666666666
28109,Madrid,Alcobendas,La Moraleja,305741,269052,36232,Elite,0.9503333333333334
28109,Madrid,Alcobendas,La Moraleja,118573,104344,11526,Elite,0.6323333333333333
28109,Madrid,Alcobendas,La Moraleja,63925,71596,6614,Elite,0.23366666666666666
28109,Madrid,Alcobendas,La Moraleja,196916,173286,21867,Elite,0.865
28109,Madrid,Alcobendas,La Moraleja,270780,238286,31617,Elite,0.9323333333333333
28109,Madrid,Alcobendas,La Moraleja,322338,283657,38423,Elite,0.9573333333333334
28109,Madrid,Alcobendas,La Moraleja,128515,113093,12838,Elite,0.6776666666666666
28109,Madrid,Alcobendas,La Moraleja,155295,136659,16373,Elite,0.7773333333333333
28109,Madrid,Alcobendas,La Moraleja,479272,421759,59138,Elite,0.987
28109,Madrid,Alcobendas,La Moraleja,326847,287626,39018,Elite,0.96
28109,Madrid,Alcobendas,La Moraleja,177996,156636,19370,Elite,0.829
28109,Madrid,Alcobendas,La Moraleja,462869,407325,56973,Elite,0.9846666666666667
28109,Madrid,Alcobendas,La Moraleja,682986,601028,86029,Elite,0.9953333333333333
28109,Madrid,Alcobendas,La Moraleja,109714,96549,10357,Elite,0.586
28109,Madrid,Alcobendas,La Moraleja,48191,53975,3971,Elite,0.06233333333333333
28109,Madrid,Alcobendas,La Moraleja,205420,180770,22990,Elite,0.8786666666666667
28109,Madrid,Alcobendas,La Moraleja,228026,200663,25974,Elite,0.9016666666666666
28109,Madrid,Alcobendas,La Moraleja,158851,139788,16843,Elite,0.7906666666666666
28109,Madrid,Alcobendas,La Moraleja,321750,283140,38346,Elite,0.9563333333333334
28109,Madrid,Alcobendas,La Moraleja,67908,76057,7283,Elite,0.27666666666666667
28109,Madrid,Alcobendas,La Moraleja,832619,732704,105780,Elite,0.997
28109,Madrid,Alcobendas,La Moraleja,104413,91883,9657,Elite,0.5563333333333333
28109,Madrid,Alcobendas,La Moraleja,168179,147997,18074,Elite,0.81
28109,Madrid,Alcobendas,La Moraleja,495231,435804,61245,Elite,0.9883333333333333
28109,Madrid,Alcobendas,La Moraleja,224239,197330,25474,Elite,0.896
28109,Madrid,Alcobendas,La Moraleja,309677,272515,36752,Elite,0.952
28109,Madrid,Alcobendas,La Moraleja,264003,232322,30723,Elite,0.9286666666666666
28109,Madrid,Alcobendas,La Moraleja,481501,423721,59433,Elite,0.9873333333333333
28109,Madrid,Alcobendas,La Moraleja,160401,141152,17047,Elite,0.794
28109,Madrid,Alcobendas,La Moraleja,207460,182564,23259,Elite,0.8803333333333333
28109,Madrid,Alcobendas,La Moraleja,149645,131688,15628,Elite,0.76
28109,Madrid,Alcobendas,La Moraleja,268490,236271,31315,Elite,0.9306666666666666
28109,Madrid,Alcobendas,La Moraleja,171411,150841,18501,Elite,0.8156666666666667
28109,Madrid,Alcobendas,La Moraleja,147111,129457,15293,Elite,0.75
28109,Madrid,Alcobendas,La Moraleja,285883,251577,33611,Elite,0.941
28109,Madrid,Alcobendas,La Moraleja,269594,237242,31461,Elite,0.9313333333333333
28109,Madrid,Alcobendas,La Moraleja,210796,185501,23700,Elite,0.884
28109,Madrid,Alcobendas,La Moraleja,161911,142481,17247,Elite,0.797
28109,Madrid,Alcobendas,La Moraleja,256258,225507,29701,Elite,0.923
28109,Madrid,Alcobendas,La Moraleja,174395,153467,18895,Elite,0.8203333333333334
28109,Madrid,Alcobendas,La Moraleja,111501,98121,10593,Elite,0.5956666666666667
28109,Madrid,Alcobendas,La Moraleja,96142,84605,8565,Elite,0.5036666666666667
28109,Madrid,Alcobendas,La Moraleja,530450,466796,65894,Elite,0.99
28109,Madrid,Alcobendas,La Moraleja,597780,526046,74781,Elite,0.9926666666666667
28109,Madrid,Alcobendas,La Moraleja,220834,194334,25025,Elite,0.893
28109,Madrid,Alcobendas,La Moraleja,103604,91171,9550,Elite,0.5516666666666666
28109,Madrid,Alcobendas,La Moraleja,165012,145210,17656,Elite,0.8043333333333333
28109,Madrid,Alcobendas,La Moraleja,722514,635812,91246,Elite,0.9963333333333333
28109,Madrid,Alcobendas,La Moraleja,856813,753995,108974,Elite,0.9973333333333333
28109,Madrid,Alcobendas,La Moraleja,130308,114671,13075,Elite,0.6866666666666666
28109,Madrid,Alcobendas,La Moraleja,241974,212937,27815,Elite,0.914
28109,Madrid,Alcobendas,La Moraleja,171636,151040,18531,Elite,0.8163333333333334
28109,Madrid,Alcobendas,La Moraleja,358664,315625,43218,Elite,0.9686666666666667
28001,Madrid,Madrid,Salamanca,213112,117211,13456,Aristocracy,0.886
28001,Madrid,Madrid,Salamanca,126446,88512,9151,Aristocracy,0.6703333333333333
28001,Madrid,Madrid,Salamanca,81084,56759,4388,Aristocracy,0.396
28001,Madrid,Madrid,Salamanca,166092,91350,9577,Aristocracy,0.8063333333333333
28001,Madrid,Madrid,Salamanca,105670,73969,6970,Aristocracy,0.5616666666666666
28001,Madrid,Madrid,Salamanca,188080,103444,11391,Aristocracy,0.851
28001,Madrid,Madrid,Salamanca,106415,74490,7048,Aristocracy,0.567
28001,Madrid,Madrid,Salamanca,115714,80999,8024,Aristocracy,0.6156666666666667
28001,Madrid,Madrid,Salamanca,92489,64742,5586,Aristocracy,0.47933333333333333
28001,Madrid,Madrid,Salamanca,183419,100880,11007,Aristocracy,0.8403333333333334
28001,Madrid,Madrid,Salamanca,110311,77218,7457,Aristocracy,0.59
28001,Madrid,Madrid,Salamanca,184572,101514,11102,Aristocracy,0.8436666666666667
28001,Madrid,Madrid,Salamanca,142746,99922,10863,Aristocracy,0.7353333333333333
28001,Madrid,Madrid,Salamanca,235144,129329,15274,Aristocracy,0.9086666666666666
28001,Madrid,Madrid,Salamanca,253101,139205,16755,Aristocracy,0.922
28001,Madrid,Madrid,Salamanca,80871,56610,4366,Aristocracy,0.39266666666666666
28001,Madrid,Madrid,Salamanca,104354,73047,6832,Aristocracy,0.5553333333333333
28001,Madrid,Madrid,Salamanca,193666,106516,11852,Aristocracy,0.8593333333333333
28001,Madrid,Madrid,Salamanca,93270,65289,5668,Aristocracy,0.485
28001,Madrid,Madrid,Salamanca,259095,142502,17250,Aristocracy,0.9236666666666666
28001,Madrid,Madrid,Salamanca,163866,90126,9393,Aristocracy,0.8033333333333333
28001,Madrid,Madrid,Salamanca,149831,104882,11607,Aristocracy,0.7606666666666667
28001,Madrid,Madrid,Salamanca,132475,92732,9784,Aristocracy,0.697
28001,Madrid,Madrid,Salamanca,135248,94674,10076,Aristocracy,0.7066666666666667
28001,Madrid,Madrid,Salamanca,202069,111138,12545,Aristocracy,0.8736666666666667
28001,Madrid,Madrid,Salamanca,192054,105630,11719,Aristocracy,0.8553333333333333
28001,Madrid,Madrid,Salamanca,116552,81587,8113,Aristocracy,0.622
28001,Madrid,Madrid,Salamanca,188945,103920,11463,Aristocracy,0.8523333333333334
28001,Madrid,Madrid,Salamanca,172370,94803,10095,Aristocracy,0.817
28001,Madrid,Madrid,Salamanca,136214,95349,10177,Aristocracy,0.711
28001,Madrid,Madrid,Salamanca,149407,104585,11562,Aristocracy,0.7586666666666667
28001,Madrid,Madrid,Salamanca,82516,57761,4539,Aristocracy,0.407
28001,Madrid,Madrid,Salamanca,145764,102035,11180,Aristocracy,0.7463333333333333
28001,Madrid,Madrid,Salamanca,149479,104635,11570,Aristocracy,0.759
28001,Madrid,Madrid,Salamanca,231264,127195,14954,Aristocracy,0.9053333333333333
28001,Madrid,Madrid,Salamanca,120549,84384,8532,Aristocracy,0.6393333333333333
28001,Madrid,Madrid,Salamanca,153311,84321,8523,Aristocracy,0.7716666666666666
28001,Madrid,Madrid,Salamanca,199955,109975,12371,Aristocracy,0.8703333333333333
28001,Madrid,Madrid,Salamanca,145591,101914,11162,Aristocracy,0.7456666666666667
28001,Madrid,Madrid,Salamanca,98005,68604,6165,Aristocracy,0.5166666666666667
28001,Madrid,Madrid,Salamanca,109899,76929,7414,Aristocracy,0.5876666666666667
28001,Madrid,Madrid,Salamanca,397603,218681,28677,Aristocracy,0.9753333333333334
28001,Madrid,Madrid,Salamanca,147225,103057,11333,Aristocracy,0.7506666666666667
28001,Madrid,Madrid,Salamanca,55285,44228,2509,Aristocracy,0.13566666666666666
28001,Madrid,Madrid,Salamanca,168714,92792,9793,Aristocracy,0.8113333333333334
28001,Madrid,Madrid,Salamanca,80316,56221,4308,Aristocracy,0.39
28001,Madrid,Madrid,Salamanca,107312,75119,7142,Aristocracy,0.5716666666666667
28001,Madrid,Madrid,Salamanca,243818,134099,15989,Aristocracy,0.9163333333333333
28001,Madrid,Madrid,Salamanca,101247,70873,6505,Aristocracy,0.5353333333333333
28001,Madrid,Madrid,Salamanca,158292,87060,8934,Aristocracy,0.789
28001,Madrid,Madrid,Salamanca,124685,87279,8966,Aristocracy,0.6616666666666666
28001,Madrid,Madrid,Salamanca,144101,100871,11005,Aristocracy,0.7413333333333333
28001,Madrid,Madrid,Salamanca,385319,211925,27663,Aristocracy,0.9736666666666667
28001,Madrid,Madrid,Salamanca,118410,82887,8308,Aristocracy,0.6313333333333333
28001,Madrid,Madrid,Salamanca,140315,98220,10608,Aristocracy,0.7263333333333334
28001,Madrid,Madrid,Salamanca,147206,103044,11331,Aristocracy,0.7503333333333333
28001,Madrid,Madrid,Salamanca,61904,43332,2374,Aristocracy,0.21266666666666667
28001,Madrid,Madrid,Salamanca,198405,109122,12243,Aristocracy,0.8673333333333333
28001,Madrid,Madrid,Salamanca,151308,83219,8357,Aristocracy,0.7676666666666667
28001,Madrid,Madrid,Salamanca,295952,162773,20290,Aristocracy,0.9463333333333334
28001,Madrid,Madrid,Salamanca,88896,62227,5209,Aristocracy,0.4553333333333333
28001,Madrid,Madrid,Salamanca,225797,124188,14503,Aristocracy,0.8993333333333333
28001,Madrid,Madrid,Salamanca,182666,100466,10944,Aristocracy,0.839
28001,Madrid,Madrid,Salamanca,184455,101450,11092,Aristocracy,0.843
28001,Madrid,Madrid,Salamanca,312306,171768,21640,Aristocracy,0.953
28001,Madrid,Madrid,Salamanca,141885,99319,10772,Aristocracy,0.7313333333333333
28001,Madrid,Madrid,Salamanca,122683,85878,8756,Aristocracy,0.652
28001,Madrid,Madrid,Salamanca,131807,92265,9714,Aristocracy,0.694
28001,Madrid,Madrid,Salamanca,110227,77159,7448,Aristocracy,0.589
28001,Madrid,Madrid,Salamanca,202196,111207,12556,Aristocracy,0.8746666666666667
28001,Madrid,Madrid,Salamanca,171192,94155,9998,Aristocracy,0.815
28001,Madrid,Madrid,Salamanca,118727,83109,8341,Aristocracy,0.6326666666666667
28001,Madrid,Madrid,Salamanca,146594,102616,11267,Aristocracy,0.7493333333333333
28001,Madrid,Madrid,Salamanca,150010,82505,8250,Aristocracy,0.7616666666666667
28001,Madrid,Madrid,Salamanca,98304,68813,6196,Aristocracy,0.5206666666666667
28001,Madrid,Madrid,Salamanca,161556,88856,9203,Aristocracy,0.796
28001,Madrid,Madrid,Salamanca,76231,53361,3879,Aristocracy,0.3556666666666667
28001,Madrid,Madrid,Salamanca,460719,253395,33884,Aristocracy,0.984
28001,Madrid,Madrid,Salamanca,195019,107260,11964,Aristocracy,0.8616666666666667
28001,Madrid,Madrid,Salamanca,146093,102265,11214,Aristocracy,0.747
28001,Madrid,Madrid,Salamanca,129456,90619,9467,Aristocracy,0.681
28001,Madrid,Madrid,Salamanca,84678,59274,4766,Aristocracy,0.42533333333333334
28001,Madrid,Madrid,Salamanca,55943,44754,2588,Aristocracy,0.14433333333333334
28001,Madrid,Madrid,Salamanca,198652,109259,12263,Aristocracy,0.8676666666666667
28001,Madrid,Madrid,Salamanca,207363,114049,12982,Aristocracy,0.88
28001,Madrid,Madrid,Salamanca,117961,82573,8260,Aristocracy,0.6283333333333333
28001,Madrid,Madrid,Salamanca,200624,110343,12426,Aristocracy,0.8713333333333333
28001,Madrid,Madrid,Salamanca,143966,100776,10991,Aristocracy,0.7406666666666667
28001,Madrid,Madrid,Salamanca,72686,50880,3507,Aristocracy,0.3243333333333333
28001,Madrid,Madrid,Salamanca,117063,81944,8166,Aristocracy,0.6243333333333333
28001,Madrid,Madrid,Salamanca,153843,84613,8566,Aristocracy,0.7726666666666666
28001,Madrid,Madrid,Salamanca,140553,98387,10633,Aristocracy,0.728
28001,Madrid,Madrid,Salamanca,195080,107294,11969,Aristocracy,0.862
28001,Madrid,Madrid,Salamanca,199214,109568,12310,Aristocracy,0.8686666666666667
28001,Madrid,Madrid,Salamanca,218790,120335,13925,Aristocracy,0.89
28001,Madrid,Madrid,Salamanca,60608,42426,2238,Aristocracy,0.19466666666666665
28001,Madrid,Madrid,Salamanca,152170,83693,8428,Aristocracy,0.7693333333333333
28001,Madrid,Madrid,Salamanca,87683,61378,5081,Aristocracy,0.44733333333333336
28001,Madrid,Madrid,Salamanca,203985,112192,12703,Aristocracy,0.8763333333333333
28001,Madrid,Madrid,Salamanca,170014,93508,9901,Aristocracy,0.8126666666666666
28001,Madrid,Madrid,Salamanca,213491,117420,13488,Aristocracy,0.8863333333333333
28001,Madrid,Madrid,Salamanca,368663,202765,26289,Aristocracy,0.971
28001,Madrid,Madrid,Salamanca,116726,81708,8131,Aristocracy,0.623
28001,Madrid,Madrid,Salamanca,196145,107879,12056,Aristocracy,0.8633333333333333
28001,Madrid,Madrid,Salamanca,110850,77595,7514,Aristocracy,0.5936666666666667
28001,Madrid,Madrid,Salamanca,174822,96152,10297,Aristocracy,0.8213333333333334
28001,Madrid,Madrid,Salamanca,184880,101684,11127,Aristocracy,0.8453333333333334
28001,Madrid,Madrid,Salamanca,268098,147454,17993,Aristocracy,0.9303333333333333
28001,Madrid,Madrid,Salamanca,321148,176631,22369,Aristocracy,0.956
28001,Madrid,Madrid,Salamanca,200619,110340,12426,Aristocracy,0.871
28001,Madrid,Madrid,Salamanca,162189,89204,9255,Aristocracy,0.799
28001,Madrid,Madrid,Salamanca,121591,85113,8641,Aristocracy,0.646
28001,Madrid,Madrid,Salamanca,96280,67396,5984,Aristocracy,0.5056666666666667
28001,Madrid,Madrid,Salamanca,182587,100423,10938,Aristocracy,0.8386666666666667
28001,Madrid,Madrid,Salamanca,187144,102929,11314,Aristocracy,0.8486666666666667
28001,Madrid,Madrid,Salamanca,94469,66128,5794,Aristocracy,0.49416666666666664
28001,Madrid,Madrid,Salamanca,181927,100060,10884,Aristocracy,0.836
28001,Madrid,Madrid,Salamanca,134886,94420,10038,Aristocracy,0.7056666666666667
28001,Madrid,Madrid,Salamanca,55421,44337,2525,Aristocracy,0.13733333333333334
28001,Madrid,Madrid,Salamanca,274848,151166,18549,Aristocracy,0.9343333333333333
28001,Madrid,Madrid,Salamanca,144466,101126,11043,Aristocracy,0.7416666666666667
28001,Madrid,Madrid,Salamanca,202100,111155,12548,Aristocracy,0.874
28001,Madrid,Madrid,Salamanca,118011,82607,8266,Aristocracy,0.6293333333333333
28001,Madrid,Madrid,Salamanca,177003,97351,10477,Aristocracy,0.8266666666666667
28001,Madrid,Madrid,Salamanca,124338,87037,8930,Aristocracy,0.6583333333333333
28001,Madrid,Madrid,Salamanca,183074,100691,10978,Aristocracy,0.84
